participant_id,condition,typed_chars,pasted_chars,typed_share,n_typing_bursts,typing_duration_s,n_paste_events,prop_pages_with_writing,writing_gini,first_writing_page,first_writing_time_s,final_answer_length,seq_time_mean_run_explore,seq_time_mean_run_exploit,seq_time_max_run,seq_time_entropy,seq_time_lag1_autocorr,seq_topic_mean_run_explore,seq_topic_mean_run_exploit,seq_topic_max_run,seq_topic_entropy,seq_topic_lag1_autocorr,seq_typing_mean_run_explore,seq_typing_mean_run_exploit,seq_typing_max_run,seq_typing_entropy,seq_typing_lag1_autocorr
141,clumpy,227.5,3584.5,0.05036358004487247,3.0,54.564,3.0,0.2875,0.7936890202372806,2.0,48.355000000000004,3806.0,3.25,1.75,5.5,0.8462845118449127,,1.8333333333333335,2.0,3.0,0.9626922986898168,,2.583333333333333,2.0,4.5,0.8381810489061636,
142,clumpy,75.0,2151.5,0.03903050746322931,3.5,64.78750000000002,5.0,0.5555555555555556,0.6189402038991584,2.0,46.525,2106.0,1.75,2.0,2.5,0.9546859469463559,,4.0,1.25,4.0,0.9182958340544896,,1.75,2.0,2.5,0.9546859469463559,
143,clumpy,1182.5,63.5,0.9540853217642806,4.0,51.51549999999996,1.0,0.4949494949494949,0.7102380409848982,3.0,81.21950000000001,1228.0,4.5,1.75,5.0,0.9182134982303294,,5.75,1.5,6.5,0.8375572477386319,,4.75,2.75,5.5,0.9319780693275648,
144,diffuse,351.0,0.0,1.0,2.0,143.45499999999993,0.0,0.25,0.75,4.0,135.926,350.0,2.0,1.0,2.0,1.0,,1.0,1.5,2.0,0.8112781244591328,,3.0,1.0,3.0,0.8112781244591328,
145,diffuse,2.0,1410.0,0.0013114754098360656,1.5,21.684000000000005,2.5,0.3666666666666667,0.6839689210279449,1.0,81.568,1364.5,1.25,1.75,2.5,0.9446232142545791,,4.75,1.0,5.0,0.7371044646151572,,4.5,1.75,4.5,0.9446232142545791,
146,clumpy,32.5,1127.0,0.04114793045463662,2.0,34.511000000000024,3.0,0.2763157894736842,0.7539393233241231,11.5,205.481,1145.5,9.5,1.75,10.5,0.47374733528382196,,2.25,2.05,5.5,0.9498718793491313,,10.5,2.0,10.5,0.6487361244596449,
147,diffuse,356.0,21.0,0.9523809523809523,4.0,101.03200000000002,0.5,0.22549019607843135,0.8042061458354492,5.0,190.6205,374.5,4.583333333333333,1.6666666666666665,6.0,0.7568177171875815,,3.5,2.0,5.5,0.9842469386831969,,4.75,1.75,6.0,0.7204276042957152,
149,diffuse,52.5,1926.0,0.018783542039355994,2.0,19.532500000000027,3.0,0.5476190476190476,0.554448306899974,1.0,38.284,1493.0,1.3333333333333333,2.0,2.5,0.49261406801712576,,4.0,1.0,4.0,0.7549843063184084,,1.1666666666666665,1.5,2.0,0.9517619850443706,
150,clumpy,161.0,3493.5,0.033970794175624056,3.5,37.82800000000003,2.5,0.625,0.5422416463553539,2.5,130.311,2097.5,1.0,3.5,3.5,0.4056390622295664,,1.5,1.5,1.5,1.0,,1.5,2.5,2.5,0.9056390622295665,
151,diffuse,1155.0,0.0,1.0,6.0,155.974,0.0,0.16666666666666666,0.8333333333333334,6.0,73.105,1151.0,5.0,1.0,5.0,0.6500224216483541,,5.0,1.0,5.0,0.6500224216483541,,5.0,1.0,5.0,0.6500224216483541,
