spatial,wiki,n,r_pearson,p_pearson,rho_spearman,p_spearman,r_partial,p_partial,p_fdr,fdr_significant
path_length_sd,PC1,132,-0.17298705270259054,0.04730636464890772,-0.1580142039509621,0.07036342592500368,-0.18418291832413639,0.03521153584564818,0.730097857471973,False
path_length_sd,seq_typing_mean_run_explore,130,-0.15171966936715534,0.08486085365144717,-0.16648727762067686,0.05833817146851599,-0.16844183374904503,0.05636953934893052,0.730097857471973,False
path_length_sd,seq_typing_entropy,132,0.051169547419264785,0.560106262811589,0.052001740922575763,0.5537348322288224,0.08069966362545507,0.3595132072353131,0.8693980755381744,False
coverage_entropy_mean,count_time,132,-0.017313951717055145,0.8437923735278261,-0.03749385653516721,0.6695070920728154,-0.016671769544387788,0.8500916902981144,0.9556464431004119,False
coverage_entropy_mean,count_topic,132,0.0011516131728430828,0.9895438717616977,-0.03382825710896413,0.7001850113121609,0.048757222433106845,0.5802411187660264,0.9959005606481017,False
coverage_entropy_mean,count_typing,132,0.05124703705688988,0.5595115075036257,-0.008144908356933763,0.9261503451990393,0.08922342995855646,0.3108479703015741,0.8693980755381744,False
coverage_entropy_mean,PC1,132,0.0043252484610161734,0.9607432515973168,-0.035321251784692635,0.6876280597525122,0.04565867152775916,0.6045636061357285,0.9885014248574279,False
coverage_entropy_mean,seq_typing_mean_run_explore,130,-0.13508187840192262,0.12544168251115606,-0.09803606243168776,0.2671443678489363,-0.1183103569139019,0.18175749447116818,0.730097857471973,False
coverage_entropy_mean,seq_typing_entropy,132,0.15030092576632714,0.08539829986253432,0.09995577030390317,0.2541446406745354,0.06624772216599974,0.45217183816387774,0.730097857471973,False
coverage_entropy_sd,count_time,132,0.012760548660874498,0.8845379385401098,-0.009251867410928647,0.9161479912731711,0.010547593963678034,0.9048245559106296,0.970726361410365,False
coverage_entropy_sd,count_topic,132,0.12360315852186847,0.15794817388683696,0.11074991872849647,0.20615452587750582,0.11666277506129032,0.1845069538125108,0.730097857471973,False
coverage_entropy_sd,count_typing,132,0.008183477642847558,0.9258016343508534,0.05545751668625364,0.5276583947093673,-0.009053354671648622,0.9182571349739197,0.9794621113558081,False
coverage_entropy_sd,PC1,132,0.0968944798611836,0.269052344120554,0.08613501303145536,0.32608503923502985,0.08868727960497494,0.31377608453328376,0.7423353487559324,False
coverage_entropy_sd,seq_typing_mean_run_explore,130,0.09622226889261198,0.2761380858290502,0.029532857592531155,0.7387214248877432,0.06655167988112227,0.45364278217847476,0.7423353487559324,False
coverage_entropy_sd,seq_typing_entropy,132,-0.1479261335132611,0.09051204057046475,-0.09886489768994969,0.2593903577348187,-0.06571134678109326,0.45584927955240895,0.730097857471973,False
heading_variability_mean,count_time,132,-0.03523495201421305,0.688351616709805,-0.015148979830000246,0.8631207118233467,-0.04348126471931649,0.6219211213511715,0.9556464431004119,False
heading_variability_mean,count_topic,132,-0.04812862809190849,0.5836820882594776,-0.04519245767895424,0.6068700312984285,-0.08205956872860165,0.3514472395834898,0.8903625075144574,False
heading_variability_mean,count_typing,132,-0.09900260515472117,0.2587241018318014,-0.06679302248812108,0.4466899953863451,-0.1238234051265264,0.1588145860545187,0.7423353487559324,False
heading_variability_mean,PC1,132,-0.05818052160087932,0.5075565125882966,-0.029766594889315875,0.7347494945991727,-0.08906257425989533,0.3117245852403552,0.8618884176027678,False
heading_variability_mean,seq_typing_mean_run_explore,130,0.18566096635453255,0.034443683949580396,0.13603228781201646,0.12277995473682647,0.17286067240723452,0.050114746456870085,0.730097857471973,False
heading_variability_mean,seq_typing_entropy,132,-0.15071502700091194,0.0845307069681166,-0.13780487441913533,0.11508891551406684,-0.09150260834256403,0.29860004563717624,0.730097857471973,False
heading_variability_sd,count_time,132,0.07529890252587342,0.39083211122486394,0.05933657163888849,0.4991440753302895,0.0821457457740462,0.3509399470735506,0.7605039333765344,False
heading_variability_sd,count_topic,132,0.12489136664606833,0.1536266162161187,0.10782904175104163,0.21844630530865256,0.1506808724535584,0.08581207930704315,0.730097857471973,False
heading_variability_sd,count_typing,132,0.0752106592317659,0.3913891697115992,0.08168512943184725,0.3517906156348623,0.0876844120855386,0.31930110418059043,0.7605039333765344,False
heading_variability_sd,PC1,132,0.12140340051506199,0.16553712317514443,0.10220933953799187,0.24354011504405335,0.1440743894729864,0.10063563719135638,0.730097857471973,False
heading_variability_sd,seq_typing_mean_run_explore,130,0.06733987941825387,0.4465125838908337,0.033858943745944635,0.7021405953438195,0.09547989112450056,0.28177120261723676,0.7910058216563942,False
