condition,spatial,wiki,n,r_pearson,p_pearson,rho_spearman,p_spearman,p_fdr,fdr_significant
Diffuse,pct_time_exploit_mean,seq_typing_mean_run_explore,60,0.1952699683507214,0.1348697223128974,0.13702890807329451,0.29647246433973384,0.7831145166555333,False
Diffuse,pct_time_exploit_mean,seq_typing_entropy,60,-0.09981069152326412,0.4479935364340929,-0.15349266597982478,0.2416420414472512,0.8960796658866635,False
Diffuse,pct_time_exploit_sd,count_time,60,0.05164542765311726,0.6951393837245768,0.08487332162312988,0.5190819130495041,0.9690647495399429,False
Diffuse,pct_time_exploit_sd,count_topic,60,0.12214171951208447,0.35253129049433574,0.14573925521467834,0.26653006994648326,0.8960796658866635,False
Diffuse,pct_time_exploit_sd,count_typing,60,0.10919655810492387,0.4062405541214528,0.14253075110783944,0.2773145047612167,0.8960796658866635,False
Diffuse,pct_time_exploit_sd,PC1,60,0.11679202389357526,0.3741733874336179,0.14788136311218922,0.2594885617992605,0.8960796658866635,False
Diffuse,pct_time_exploit_sd,seq_typing_mean_run_explore,60,0.14279048872707167,0.27643085944922996,0.09905704198069483,0.4514459559939014,0.8960796658866635,False
Diffuse,pct_time_exploit_sd,seq_typing_entropy,60,-0.10174503156457072,0.4391996619116863,-0.15234927947815824,0.24520846380975372,0.8960796658866635,False
Diffuse,n_transitions_mean,count_time,60,0.060470709427867045,0.6462548752401428,0.07475839253447096,0.5702455374401808,0.9690647495399429,False
Diffuse,n_transitions_mean,count_topic,60,-0.0708375235288973,0.5906882377688207,-0.016887433858535555,0.8980960520579728,0.9690647495399429,False
Diffuse,n_transitions_mean,count_typing,60,0.11554083484881814,0.3793481364721306,0.11248175230612464,0.3921793710011953,0.8960796658866635,False
Diffuse,n_transitions_mean,PC1,60,-0.022537675358521567,0.8642824596182905,0.0230244751774409,0.8613796414283321,0.9690647495399429,False
Diffuse,n_transitions_mean,seq_typing_mean_run_explore,60,0.02202549150389646,0.8673385706872162,0.06284366608233288,0.6333500877028312,0.9690647495399429,False
Diffuse,n_transitions_mean,seq_typing_entropy,60,-0.046176266014653855,0.7260815737093693,-0.03703902563814576,0.7787378833696195,0.9690647495399429,False
Diffuse,n_transitions_sd,count_time,60,0.06365299962451881,0.6289731900348706,0.1091056994295158,0.4066335625442282,0.9690647495399429,False
Diffuse,n_transitions_sd,count_topic,60,-0.019712074166545107,0.8811657586114625,0.027898410110338192,0.8324226916220254,0.9690647495399429,False
Diffuse,n_transitions_sd,count_typing,60,0.12740466263660621,0.3320100967783386,0.1660022066822996,0.2049355927341822,0.8960796658866635,False
Diffuse,n_transitions_sd,PC1,60,0.017493252780701993,0.8944608322160383,0.05903111913433756,0.6541348994891203,0.9690647495399429,False
